tree_id,lon,lat,x,y
1,-73.12174518689595,7.143024612104038,1105579.5132082938,1281752.7804811907
2,-73.12104894772537,7.142881616345304,1105656.463931839,1281737.1238438035
3,-73.12145256039189,7.142850829587335,1105611.8813697852,1281733.6260843873
4,-73.12139236399572,7.142797999051946,1105618.543770092,1281727.79648536
5,-73.12205756268243,7.142642263915656,1105545.090806708,1281710.4187282603
6,-73.12124331448247,7.142697800114748,1105635.0332108517,1281716.748007204
7,-73.12081130815162,7.142607555549782,1105682.7804130516,1281706.8654488532
8,-73.12146899338,7.142681703221326,1105610.1047297032,1281714.9158475099
9,-73.12134185162269,7.142679933822562,1105624.1512903504,1281714.7492875375
10,-73.12175942270132,7.142219498143389,1105578.12520823,1281663.7264160528
11,-73.12149281130017,7.142586380236139,1105607.495289583,1281704.3670492703
12,-73.12166923514744,7.14257269095514,1105588.0077686852,1281702.8124895296
13,-73.12224782419607,7.1424990974378035,1105524.1042457412,1281694.5400109102
14,-73.12268222536618,7.142404122436332,1105476.134963531,1281683.93569268
15,-73.11773740162054,7.142031446614493,1106022.5073087031,1281643.85025937
16,-73.12258743631308,7.142311063653758,1105486.6282440145,1281673.664494394
17,-73.11839877688519,7.1422632213882835,1105949.3874653343,1281669.3339351169
18,-73.12134360654632,7.142319028432552,1105624.0402503454,1281674.8304141995
19,-73.12055517475838,7.142285268181439,1105711.1511343585,1281671.2771347926
20,-73.11876474377421,7.142210272454956,1105908.9689034722,1281663.3932961083
21,-73.11862298862349,7.142227546408815,1105924.6255441937,1281665.336495784
22,-73.11889693900652,7.142198500144209,1105894.3671427995,1281662.0608163308
23,-73.1190472792793,7.142161165564906,1105877.7666620347,1281657.8968170257
24,-73.11784110140053,7.142188775574549,1106011.0146681736,1281661.2280164696
25,-73.1192890770047,7.142127032662849,1105851.0615408043,1281654.065937665
26,-73.11915383932457,7.142151849714154,1105865.9964214924,1281656.8419372018
27,-73.11948156126793,7.1421234167514305,1105829.7973798248,1281653.6217777391
28,-73.11974548257619,7.142083807991185,1105800.6493784818,1281649.1801784805
29,-73.1202777749704,7.142039736401705,1105741.853695773,1281644.1833793144
30,-73.11914594697606,7.142080555084087,1105866.8847415333,1281648.9580985175
31,-73.12252007863718,7.142076508956664,1105494.1234443597,1281647.7366587212
32,-73.11905498265934,7.142081871986517,1105876.9338619963,1281649.1246584896
33,-73.11939771202276,7.142086599578937,1105839.0692202519,1281649.5688184155
34,-73.12236183941953,7.142045561814091,1105511.6122451655,1281644.3499392865
35,-73.11923707537571,7.142000430876558,1105856.8356210703,1281640.0749
36,-73.12165939045336,7.141989393322026,1105589.2292087416,1281638.2982602965
37,-73.11997424115953,7.1420365966998585,1105775.387777318,1281643.9057793606
38,-73.11869277422407,7.14201937833272,1105916.9637838406,1281642.2956996292
39,-73.12208148932024,7.142010346067235,1105542.5924065928,1281640.5190599258
40,-73.12198701857356,7.142006134731319,1105553.0301670737,1281640.0749
41,-73.11952353604525,7.1419970101343395,1105825.1892196124,1281639.630740074
42,-73.12044425617124,7.141973823139233,1105723.4765749264,1281636.8547405375
43,-73.11861240944862,7.141998630968284,1105925.8469842498,1281640.0193800093
44,-73.1215289385167,7.14188772715252,1105603.6644094065,1281627.083222168
45,-73.11851847170905,7.141979863214054,1105936.2292247282,1281637.965140352
46,-73.11940803466038,7.141956111563219,1105837.9588202008,1281635.1336208247
47,-73.11869796387435,7.141940581502532,1105916.408583815,1281633.579061084
48,-73.11844620524316,7.141931524894795,1105944.2241050964,1281632.6352212415
